"","DEPARTAMENTO","POBLACION","CASOS_DEPARTAMENTO","PORCENTAJE_DEPARTAMENTO","FALLECIDOS_DEPARTAMENTO","MORTALIDAD_DEPARTAMENTO","FALLECIDOS_SINADEF","PORC_MUERTES_COVID"
"1","AMAZONAS",379384,31187,8.22,1239,3.97,1899,65.24
"2","ANCASH",1083519,75294,6.95,6599,8.76,15664,42.13
"3","APURIMAC",405759,25813,6.36,1481,5.74,4571,32.4
"4","AREQUIPA",1382730,113371,8.2,9592,8.46,20615,46.53
"5","AYACUCHO",616176,32902,5.34,2081,6.32,5284,39.38
"6","CAJAMARCA",1341012,64928,4.84,4076,6.28,10038,40.61
"7","CALLAO",994494,99459,10,9908,9.96,16741,59.18
"8","CUSCO",1205527,72008,5.97,4700,6.53,14139,33.24
"9","HUANCAVELICA",347639,15938,4.58,1142,7.17,4511,25.32
"10","HUANUCO",721047,35108,4.87,2673,7.61,7406,36.09
"11","ICA",850765,57723,6.78,8279,14.34,14011,59.09
"12","JUNIN",1246038,83933,6.74,6940,8.27,16387,42.35
"13","LA LIBERTAD",1778080,86767,4.88,10100,11.64,22742,44.41
"14","LAMBAYEQUE",1197260,60630,5.06,8557,14.11,9328,91.73
"15","LIMA",9485405,936859,9.88,88015,9.39,156073,56.39
"16","LORETO",883510,44778,5.07,4158,9.29,7315,56.84
"17","MADRE DE DIOS",141070,13790,9.78,761,5.52,1718,44.3
"18","MOQUEGUA",174863,29221,16.71,1495,5.12,2454,60.92
"19","PASCO",254065,15554,6.12,1035,6.65,2330,44.42
"20","PIURA",1856809,85706,4.62,11854,13.83,20698,57.27
"21","PUNO",1172697,38602,3.29,4040,10.47,13937,28.99
"22","SAN MARTIN",813381,48140,5.92,2967,6.16,7421,39.98
"23","TACNA",329332,29518,8.96,1940,6.57,2840,68.31
"24","TUMBES",224863,18358,8.16,1548,8.43,3051,50.74
"25","UCAYALI",496459,31981,6.44,3083,9.64,5032,61.27
